"name","gender","ethnicity","age","income","marital.status","years.education","occupation","years.on.earth","birth.world","IQ","height"
"Katheer al-Salik","male","arabic",55,58723,"married",12,"employed",12,"earth",86.2670669000409,1.59929182393363
"Siobhan Lapioli","female","black",39,109679,"married",18,"employed",20,"earth",113.292649221792,1.67975589533075
"Tammassha Madrid","female","indigenous",64,147720,"married",24,"employed",3,"earth",124.945700166069,1.74967420099642
"Hannah Sublette","female","asian",35,48872,"married",10,"employed",29,"earth",69.0887227802332,1.4145323366814
"Kaazima el-Amir","female","arabic",48,94714,"married",18,"employed",16,"earth",106.178278065408,1.63706966839245
"Brandon Kingman","male","asian",34,78744,"married",18,"employed",30,"earth",100.667472626016,1.70489479925745
"Nicholas Reardon","male","white",21,46012,"single",9,"employed",6,"earth",76.2475769196455,1.5258155640774
"Alexandra Mahgoub","female","black",44,52542,"single",18,"employed",17,"earth",114.005618968871,1.68403371381323
"Daija Obi","female","black",48,63532,"married",17,"employed",16,"earth",100.014037935008,1.60008422761005
"Stephanie Mehreen","female","asian",28,76866,"single",18,"employed",22,"earth",109.575171530825,1.65745102918495
"Jeffrey Manegdeg","male","asian",29,160174,"single",14,"employed",24,"earth",92.1488064259093,1.64242458045667
"Tory Johnson","female","indigenous",65,137477,"married",12,"employed",2,"earth",90.7388965827393,1.54443337949644
"Mishaari al-Hadi","male","arabic",55,95040,"married",22,"employed",11,"earth",124.092474062091,1.876678143122
"Javon Gardner","male","black",40,71333,"divorced",12,"employed",20,"earth",81.3962685091146,1.56357263573351
"Chase Hewson","male","white",37,59328,"married",12,"employed",25,"earth",94.3910054756052,1.65886737348777
"Tanner Yeromich","male","white",22,82631,"single",13,"employed",13,"mars",92.1166127131621,1.74218849322986
"Shion Guerrero","male","asian",30,60263,"single",16,"employed",26,"earth",114.699486060367,1.80779623110936
"Justice Wu","female","asian",33,103543,"single",20,"employed",31,"earth",98.2870053704039,1.58972203222242
"Danny Ryno","male","asian",32,103313,"single",16,"employed",31,"earth",101.783315124741,1.7130776442481
"Christian Santos-Casillas","male","hispanic",57,122832,"married",23,"employed",7,"earth",131.741454133784,1.93277066364775
"Ashley Jacques","female","white",37,80647,"married",9,"employed",25,"earth",80.3757098859333,1.4822542593156
"Savana Shafi","female","asian",32,128147,"single",12,"employed",31,"earth",85.6908008307733,1.51414480498464
"Karina Perkins","female","white",23,62873,"married",16,"employed",14,"earth",102.50605593346,1.61503633560076
"Perdeep Matsushima","male","asian",29,183680,"married",17,"employed",24,"earth",108.066521827994,1.75915449340529
"Imaad el-Abdallah","male","arabic",49,59492,"single",18,"employed",15,"earth",107.865774128129,1.75768234360628
"Ibashi Lee","male","black",40,117063,"married",17,"employed",20,"earth",93.3877835691701,1.65151041284058
"Kiana Witter","female","asian",35,63050,"single",16,"employed",29,"earth",96.8302975789529,1.58098178547372
"Tanay Forrey","female","asian",32,95624,"married",16,"employed",31,"earth",103.680375211647,1.62208225126988
"Michael Matthew","male","black",45,71381,"single",12,"employed",17,"earth",79.9851520990021,1.55322444872602
"Huwaida el-Din","female","arabic",50,140606,"married",18,"employed",15,"earth",111.808254654218,1.67084952792531
"Nicolas Mercado","male","asian",28,95500,"single",19,"employed",22,"earth",86.7121824730733,1.60255600480254
"Natalie Weckmann","female","indigenous",63,77022,"married",19,"employed",4,"earth",104.219429755959,1.62531657853575
"Linh Yang","female","asian",35,40742,"single",12,"employed",28,"earth",84.4541570083337,1.50672494205
"Jalaal al-Mohamad","male","arabic",51,84420,"married",21,"employed",14,"earth",114.955544847218,1.80967399554627
"Chris Crockett","male","black",47,69777,"single",19,"employed",16,"earth",90.7886777306629,1.63245030335819
"Cole Bernal","male","white",37,69958,"divorced",16,"employed",25,"earth",94.0550306839833,1.65640355834921
"Richard Bernal","male","indigenous",70,52186,"divorced",16,"employed",1,"earth",106.486465185577,1.7475674113609
"Mikayla Adhikari","female","asian",32,93815,"married",18,"employed",31,"earth",112.74830594306,1.67648983565836
"Charles Dennis","male","white",37,95848,"single",22,"employed",25,"earth",121.318440089083,1.85633522731994
"Alexis Sena","male","hispanic",57,43170,"married",12,"employed",7,"earth",71.2356575052208,1.48906148837162
"Roman Cloud","male","indigenous",69,66855,"single",12,"employed",1,"earth",92.2754877291712,1.64335357668059
"Ashley Gideon","other","white",19,39531,"married",12,"employed",15,"earth",94.4401224499824,1.56664073469989
"Azmi al-Kassem","male","arabic",50,105319,"single",22,"employed",15,"earth",108.804705017217,1.76456783679293
"Jacob Mcconkey","male","white",26,34902,"single",11,"employed",19,"earth",84.4688392638727,1.5861048212684
"Demeakie Wilson","female","black",39,81117,"married",16,"employed",20,"earth",98.8473454644118,1.59308407278647
"Sajiyya el-Muhammad","female","arabic",50,193178,"married",19,"employed",15,"earth",104.096116468327,1.62457669880996
"Mary Patterson","female","black",44,132937,"married",19,"employed",18,"earth",112.895007001774,1.67737004201064
"Thien An Jeon","male","asian",36,102738,"single",22,"employed",27,"earth",131.986760845438,1.93456957953321
"Salma Park","female","asian",33,160109,"single",15,"employed",31,"earth",103.524520636449,1.62114712381869
"Alexa Lott","female","white",20,97526,"married",10,"employed",16,"earth",92.453062997782,1.55471837798669
"Chandel Harney","female","indigenous",72,32835,"married",10,"employed",0,"earth",68.6466340586011,1.41187980435161
"Cash Bagwell","male","white",20,84073,"single",12,"employed",16,"earth",104.66816921431,1.73423324090494
"Dustin Hastings","male","other",38,119770,"single",20,"employed",21,"earth",109.200228229199,1.76746834034746
"Phanindra Hsu","male","asian",28,47347,"single",16,"employed",22,"earth",100.275297979396,1.7020188518489
"Haazima al-Sulaiman","female","arabic",56,64615,"married",20,"employed",11,"earth",126.313212415951,1.75787927449571
"Shaquon Braxton","female","black",39,64292,"single",12,"employed",20,"earth",82.4056855327461,1.49443411319648
"Suhaib el-Allee","male","arabic",54,92348,"married",16,"employed",12,"earth",102.767431569365,1.72029449817534
"Aaron Fields","male","black",39,117714,"single",15,"employed",20,"earth",88.3072152319624,1.61425291170106
"Marzooq el-Aslam","male","arabic",49,55874,"married",16,"employed",15,"earth",76.6733900402514,1.52893819362851
"Diana Ravelo","nonbinary","hispanic",57,92709,"divorced",21,"employed",8,"earth",93.6752655542374,1.56205159332542
"Demi Ingram","female","black",41,67236,"married",12,"employed",19,"earth",95.4026108663366,1.57241566519802
"Haitham el-Farag","male","arabic",52,68584,"married",22,"employed",13,"earth",118.400000347513,1.83493333588176
"Tivona Hancock","female","black",19,32582,"single",12,"employed",14,"earth",84.5656877300738,1.50739412638044
"Althea Polk","nonbinary","indigenous",61,123841,"divorced",16,"employed",4,"earth",92.0258822638842,1.55215529358331
"Talaal el-Parsa","other","arabic",55,101800,"married",15,"employed",11,"earth",91.3949307061223,1.54836958423673
"Brandon Glenn","male","white",26,67806,"married",14,"employed",18,"earth",87.4994999178307,1.60832966606409
"Nhi Nguyen","female","asian",35,40128,"single",12,"employed",28,"earth",80.6292101833714,1.48377526110023
"Jasoor el-Begum","male","arabic",48,118175,"married",13,"employed",15,"earth",108.977244088859,1.7658331233183
"Anthony Yi","male","asian",33,54926,"single",17,"employed",32,"earth",108.10045509187,1.75940333734038
"Adham al-Baluch","male","arabic",54,46586,"married",15,"employed",12,"earth",85.673870442184,1.59494171657602
"Kabeera el-Arif","female","arabic",53,97617,"married",20,"employed",13,"earth",124.774506210233,1.7486470372614
"Davis Blais","male","indigenous",65,112409,"married",12,"employed",2,"earth",101.495329820419,1.7109657520164
"Mahfooz al-Naqvi","male","arabic",51,81360,"single",22,"employed",14,"earth",112.086942656111,1.78863757947815
"Samuel Jackson","male","black",42,55616,"single",13,"employed",18,"earth",89.8844422848734,1.62581924342241
"Taamira el-Sultan","female","arabic",49,47693,"married",16,"employed",15,"earth",99.7756107586053,1.59865366455163
"Ichiko Taga","female","asian",30,60676,"married",14,"employed",26,"earth",101.606415529524,1.60963849317714
"Ayana Jones","female","black",45,74242,"married",16,"employed",18,"earth",105.49572481838,1.63297434891028
"Derek Vargas","nonbinary","hispanic",59,67771,"divorced",11,"employed",6,"earth",78.7183833429053,1.47231030005743
"Basheer el-Quadri","male","arabic",52,78203,"married",14,"employed",13,"earth",103.67516227282,1.72695119000068
"Maisara el-Abid","male","arabic",52,65593,"married",14,"employed",13,"earth",97.9509917038565,1.68497393916161
"John Allen","other","asian",36,71711,"married",16,"employed",27,"earth",91.94443838294,1.55166663029764
"Kenton Campbell","male","white",37,68925,"married",14,"employed",25,"earth",81.5519058367024,1.56471397613582
"Arayja Adams","female","black",41,131722,"married",16,"employed",19,"earth",93.7290953506359,1.56237457210382
"Raihaana al-Abbas","female","arabic",51,81351,"married",16,"employed",15,"earth",106.186341589063,1.63711804953438
"William Harris","male","black",42,59572,"single",16,"employed",18,"earth",86.8801372792236,1.60378767338097
"Elizabeth Bedell","female","white",20,48085,"single",12,"employed",16,"earth",64.4956217986419,1.38697373079185
"Allison Pablo","female","asian",27,85768,"married",16,"employed",21,"earth",92.7528886925643,1.55651733215539
"Christopher Vernon","male","white",37,37908,"married",21,"employed",25,"earth",99.786527310083,1.69843453360728
"Nicholas Lee","male","white",26,50588,"married",13,"employed",18,"earth",81.583907627401,1.56494865593427
"Ricky Werner","male","indigenous",76,97075,"single",12,"employed",0,"earth",90.6829958601237,1.63167530297424
"Gary Mcclain","male","black",47,93730,"divorced",16,"employed",16,"earth",97.617848428024,1.68253088847218
"Shihaab el-Ismail","male","arabic",52,134099,"married",19,"employed",13,"earth",99.7162660761738,1.69791928455861
"Brandon Hiep","male","asian",32,38800,"married",10,"employed",31,"earth",81.6776795566351,1.56563631674866
"Abdul Majeed el-Jalil","male","arabic",55,49497,"married",16,"employed",12,"earth",109.85418377397,1.77226401434245
"Matthew Leung","male","other",29,119438,"single",21,"employed",24,"earth",115.309470733489,1.81226945204558
"Hamdoona al-Salih","female","arabic",53,60169,"married",12,"employed",13,"earth",80.7811740662381,1.48468704439743
"Yichen Talley","male","asian",32,50424,"single",16,"employed",31,"earth",91.7988394781569,1.63985815617315
"Nathan Young","male","white",24,60878,"married",12,"employed",15,"earth",81.0404431728454,1.5609632499342
"Trent Bell","male","indigenous",62,115723,"married",20,"employed",4,"earth",101.861239360416,1.71364908864305
"Kendra Tourgee","female","other",43,90146,"divorced",16,"employed",18,"earth",103.909709886377,1.62345825931826
"Jovon Riley-King","male","black",45,46578,"married",11,"employed",17,"earth",93.030873584541,1.6488930729533
"Nigel Vigil","male","indigenous",74,123645,"married",19,"employed",0,"earth",124.879732979427,1.88245137518247
"Brooke Kind","female","white",38,27125,"married",8,"employed",20,"earth",72.3300884015679,1.43398053040941
"Bambi Shihadeh","female","asian",36,114422,"married",16,"employed",27,"earth",107.403578670947,1.64442147202568
"Johnny Boyd","male","black",47,79627,"married",16,"employed",16,"earth",96.5579532081601,1.67475832352651
"Brian Miller","male","asian",29,37013,"single",10,"employed",24,"earth",67.7056063684559,1.46317444670201
"Mustaba el-Ishmael","male","arabic",53,49330,"single",12,"employed",13,"earth",104.022317593014,1.7294969956821
"Rathana Dhindsa","male","asian",33,127597,"married",18,"employed",31,"earth",93.3766318466894,1.65142863354239
"Robert Dilley","male","indigenous",66,147527,"married",20,"employed",2,"earth",114.818945158647,1.80867226449675
"Saami el-Zaidi","male","arabic",55,37553,"divorced",12,"employed",12,"earth",81.5893597411606,1.56498863810184
"Anthony Steele","male","black",47,57264,"single",23,"employed",16,"earth",109.152335754978,1.76711712886984
"Janessa Thede","female","asian",35,59877,"divorced",12,"employed",28,"earth",79.2413243252923,1.47544794595175
"Turfa al-Abdallah","female","arabic",52,58142,"divorced",16,"employed",13,"earth",90.8888977000798,1.54533338620048
"James Nguyen","male","asian",35,89967,"married",16,"employed",29,"earth",98.6873093865644,1.69037360216814
"Sonali Yang","female","asian",31,48010,"single",12,"employed",29,"earth",76.227357990476,1.45736414794286
"Raihaan al-Rassi","male","arabic",54,234266,"married",22,"employed",12,"earth",137.244836126924,1.97312879826411
"Taalib el-Jabour","male","arabic",49,43279,"married",15,"employed",15,"earth",93.3368627581601,1.65113699355984
"Sophia Piscopio","female","asian",31,129368,"divorced",16,"employed",28,"earth",92.397693870315,1.55438616322189
"Mesel Matt","female","black",40,64310,"married",16,"employed",20,"earth",105.954338572909,1.63572603143746
"Briana Radzihovsky","female","asian",29,138598,"single",12,"employed",25,"earth",71.015247440105,1.42609148464063
"Cinoi Rape","female","indigenous",64,71050,"married",21,"employed",3,"earth",123.203533041358,1.73922119824815
"Teresa Fazio","female","indigenous",61,130135,"single",18,"employed",4,"earth",93.4285207683098,1.56057112460986
"Ronald Butler","male","black",45,50445,"married",16,"employed",18,"earth",89.1072836253206,1.62012007991902
"Sky Cooper","male","white",26,44932,"married",12,"employed",18,"earth",81.1282461141304,1.56160713817029
"Madison Kalinoski","female","white",38,141071,"married",20,"employed",20,"earth",124.622656598986,1.74773593959392
"Bethany Phan","female","asian",29,50814,"single",12,"employed",24,"earth",90.4083368556626,1.54245002113398
"Sierrah Bastian","female","black",42,123894,"single",18,"employed",18,"earth",110.456341967691,1.66273805180614
"Corey Cernoia","male","white",24,43407,"single",14,"employed",15,"earth",97.4852546866324,1.68155853436864
"Sergei Tomme","male","other",34,54937,"single",12,"employed",30,"earth",85.6219372822842,1.59456087340342
"Adriana Evans","female","black",44,32904,"married",12,"employed",18,"earth",83.2953387268398,1.49977203236104
"Sham'a al-Yacoub","female","arabic",56,131682,"divorced",18,"employed",10,"earth",92.83253984459,1.55699523906754
"Shawn Andrew Hooker","male","white",25,47870,"married",19,"employed",17,"earth",101.24658546041,1.70914162670968
"Lutfiyya al-Alam","female","arabic",53,68914,"married",19,"employed",13,"earth",94.7754815658619,1.56865288939517
"Ian Pesavento","male","white",37,87491,"married",20,"employed",25,"earth",107.557376480285,1.75542076085542
"Jakoby Box","male","indigenous",64,79357,"married",18,"employed",3,"earth",97.3422562886962,1.68050987945044
"Jessica Burton","nonbinary","asian",33,52077,"divorced",12,"employed",31,"earth",83.2092808784923,1.49925568527095
"I K N Clinton Chang","male","other",33,101859,"single",22,"employed",31,"earth",113.735428778582,1.8007264777096
"Hawraa al-Soltani","female","arabic",53,186960,"married",15,"employed",13,"earth",125.769156452204,1.75461493871323
"Madeline Bonhoure","female","asian",32,74715,"single",13,"employed",31,"earth",101.341616825286,1.60804970095172
"Hamza al-Saleh","male","arabic",56,66203,"married",17,"employed",11,"earth",100.724589577866,1.70531365690435
"Lun Brock","male","other",35,96060,"married",19,"employed",29,"earth",110.483996640898,1.77688264203325
"Shawnna Mix","female","other",69,128404,"divorced",19,"employed",1,"earth",115.829685395617,1.6949781123737
"Haazima al-Kamali","female","arabic",51,39057,"married",18,"employed",14,"earth",113.047506889199,1.67828504133519
"Yohana Stovall","female","black",39,46215,"married",12,"employed",20,"earth",71.9407273479951,1.43164436408797
"Marissa Castillo","female","black",47,42270,"married",13,"employed",16,"earth",96.6005993748124,1.57960359624887
"Ashley Cheng","female","asian",32,49631,"single",17,"employed",31,"earth",84.9432503136212,1.50965950188173
"Ramzi el-Rayes","male","arabic",49,79364,"married",27,"employed",15,"earth",121.56282881486,1.85812741130898
"Talea Wade","female","indigenous",62,44798,"married",22,"employed",4,"earth",116.604939588599,1.6996296375316
"Bassaam al-Othman","nonbinary","arabic",55,36629,"married",19,"employed",12,"earth",126.240773503322,1.75744464101993
"Malia Yeh","female","asian",34,107107,"married",16,"employed",30,"earth",101.920308277634,1.6115218496658
"Zachary Menter","male","white",26,67787,"single",20,"employed",19,"earth",104.632721774498,1.73397329301298
"Tilane Cervantes","other","indigenous",72,112819,"married",19,"employed",0,"earth",129.699494028797,1.77819696417278
"Audrey Geiger","female","white",23,100022,"single",17,"employed",14,"earth",110.197933440302,1.66118760064181
"Tessa Ferguson","nonbinary","white",24,45100,"single",16,"employed",15,"earth",90.2004406328871,1.54120264379732
"Courtney Hicks Sims","female","black",44,81892,"married",16,"employed",18,"earth",100.267847870151,1.60160708722091
"Bryce Todd","male","white",25,42985,"married",12,"employed",17,"earth",86.2759257678391,1.59935678896415
"Mazeed al-Hoda","male","arabic",51,55341,"divorced",22,"employed",14,"earth",121.729200933102,1.85934747350942
"Sean Mitchek","male","white",24,46699,"single",17,"employed",15,"earth",90.2031867936018,1.62815670315308
"Prakhar Vang","male","asian",34,61725,"married",12,"employed",30,"earth",93.0891401977399,1.64932036145009
"Veronica Archuleta","female","indigenous",71,51281,"married",16,"employed",0,"earth",110.299215917402,1.66179529550441
"Joseph Tipoti","male","asian",30,112255,"married",18,"employed",26,"earth",110.950083485087,1.78030061222397
"Mikkel Taylor","other","black",39,78753,"married",18,"employed",20,"earth",98.9275441604657,1.59356526496279
"Izzat el-Azad","male","arabic",50,87453,"married",15,"employed",15,"earth",96.6720661899597,1.6755951520597
"Halat Enhbold","male","asian",33,44081,"single",14,"employed",31,"earth",98.239504608574,1.68708970046288
"Paolo Nguyen","male","asian",36,94292,"married",17,"employed",27,"earth",100.771657367665,1.70565882069621
"Dylan Bickel","male","asian",28,82647,"single",18,"employed",22,"earth",112.537299073603,1.79194019320642
"Elroy Likianos","male","black",40,113273,"married",22,"employed",20,"earth",119.473934009331,1.84280884940176
"Hazel Joy Falor","female","asian",29,47723,"married",12,"employed",24,"earth",87.5122529461248,1.52507351767675
"Lio Oviedo","other","asian",29,44818,"single",16,"employed",24,"earth",98.9772613321735,1.59386356799304
"Dhaki el-Hannan","male","arabic",55,173100,"divorced",19,"employed",12,"earth",94.0127603455137,1.6560935758671
"Matthew Meyer-Evans","male","white",26,156047,"single",16,"employed",18,"earth",106.964175178526,1.75107061797586
"Haala el-Bacchus","female","arabic",48,85579,"single",18,"employed",16,"earth",100.834755309117,1.6050085318547
"Kelly Stebbins","female","asian",34,42896,"single",16,"employed",30,"earth",104.816165681775,1.62889699409065
"Heather Barker","female","indigenous",64,53343,"married",11,"employed",3,"earth",82.420459500471,1.49452275700283
"Lance Hubbs","male","indigenous",63,107704,"divorced",16,"employed",4,"earth",83.7055305888784,1.58050722431844
"Ja Rel Beard","male","black",43,108067,"married",24,"employed",18,"earth",130.204375157396,1.92149875115424
"Ciera Garrett","female","black",46,55358,"divorced",12,"employed",16,"earth",96.3623582628393,1.57817414957704
"Ian Raymond","male","white",37,94463,"married",16,"employed",25,"earth",104.543477344248,1.73331883385782
"Terrel Henderson","male","black",45,77251,"divorced",16,"employed",17,"earth",96.4121672376339,1.67368922640932
"Accassia Karp","female","black",42,121555,"divorced",21,"employed",18,"earth",113.953860026882,1.68372316016129
"Wesley Mckee","male","white",24,36339,"married",13,"employed",15,"earth",85.0928189648465,1.59068067240887
"Elide Mudgett","female","hispanic",59,57399,"married",15,"employed",6,"earth",97.1699993768684,1.58301999626121
"Sarie Falini","female","white",37,41234,"married",16,"employed",25,"earth",96.6874549005051,1.58012472940303
"Evan Chuong","male","asian",32,59069,"single",12,"employed",31,"earth",101.112340857656,1.70815716628948
"Hannah Konishi","female","asian",31,60855,"married",12,"employed",29,"earth",72.4559821618648,1.43473589297119
"Trevor Stanley","male","white",20,39143,"single",13,"employed",16,"earth",93.2369729263807,1.65040446812679
"Deleighon Paz-Forbush","male","black",43,85630,"divorced",16,"employed",18,"earth",108.115000451805,1.75951000331324
"Gordon Vance","male","other",25,83848,"married",16,"employed",17,"earth",103.207993572955,1.72352528620167
"Vidushi Chen","female","asian",36,31840,"married",12,"employed",26,"earth",74.3946726442683,1.44636803586561
"Cameron Walker","male","black",40,54199,"married",16,"employed",19,"earth",93.5022257194044,1.65234965527563
"Daniel Mamich","male","white",22,38602,"single",16,"employed",13,"earth",97.926595082713,1.68479503060656
"Megan Mosqueda","female","hispanic",57,203250,"divorced",15,"employed",8,"earth",101.94688681147,1.61168132086882
"Anas al-Saade","male","other",54,101427,"single",12,"employed",12,"earth",94.2337547836207,1.65771420174655
"Xeandra Hill","female","black",48,76345,"single",22,"employed",16,"earth",127.715437461778,1.76629262477067
"Noel Lummis","male","other",28,102855,"single",14,"employed",22,"earth",88.1559847323533,1.61314388803726
"Jeffrey Delgado","male","indigenous",79,131313,"married",18,"employed",79,"earth",117.680011106673,1.82965341478227
"Christopher Isimang","male","asian",30,57471,"single",17,"employed",26,"earth",97.5509264314159,1.68204012716372
"Keaton Talyai","male","white",22,84197,"single",15,"employed",13,"earth",107.906116773597,1.75797818967304
"Talon Coates","male","black",46,33273,"married",16,"employed",16,"earth",101.41231486603,1.71035697568422
"Muneeb al-Hashem","male","arabic",50,90558,"single",17,"employed",15,"earth",101.87531424305,1.71375230444903
"Shetarrah Fair","female","black",43,49473,"single",12,"employed",18,"earth",90.9427833877743,1.54565670032665
"Robert Norman","male","asian",30,144176,"married",21,"employed",26,"earth",123.268946948074,1.87063894428588
"Aujanair Demmer-White","female","black",41,114979,"married",15,"employed",19,"earth",82.3334667813167,1.4940008006879
"Anissa Elliott","female","indigenous",62,70265,"divorced",16,"employed",4,"earth",97.547876338175,1.58528725802905
"Randi Adams Starkey","female","black",39,108601,"single",19,"employed",20,"earth",104.152723779179,1.62491634267507
"Kevin Chen","male","asian",28,95208,"married",18,"employed",22,"earth",104.023491337582,1.72950560314227
"Jian Basker","male","asian",34,100487,"married",17,"employed",31,"earth",99.647439285448,1.69741455475995
"Isaac Vandevelde-Brown","male","black",42,38391,"married",10,"employed",19,"earth",71.9273372026023,1.49413380615242
"Hope Requa","female","asian",32,81677,"married",16,"employed",31,"earth",89.4623148955615,1.53677388937337
"Aalyah Bridgeford","female","black",46,58315,"married",16,"employed",16,"earth",88.7996771530647,1.53279806291839
"Ehsaon Ariunbold","male","asian",29,71177,"married",18,"employed",25,"earth",110.80491128024,1.77923601605509
"Michelle Atoe","female","asian",28,113589,"married",16,"employed",22,"earth",96.7747270784243,1.58064836247055
"Saabiq el-Haq","male","arabic",52,78961,"single",16,"employed",13,"earth",89.220669489358,1.62095157625529
"Kallie Tieu","female","asian",30,49528,"divorced",14,"employed",26,"earth",89.171019520436,1.53502611712262
"Arjun Yi","male","asian",28,65295,"single",22,"employed",22,"earth",110.621348936245,1.77788989219913
"Paul Petersen","male","white",20,60044,"single",11,"employed",16,"earth",85.3079279131504,1.59225813802977
"Siobhan Thomas","female","black",39,58080,"married",24,"employed",20,"earth",137.364638938267,1.8241878336296
"William Molina","nonbinary","hispanic",58,39484,"divorced",16,"employed",6,"earth",109.229025858881,1.65537415515328
"Scott Nguyen","male","asian",28,154788,"divorced",20,"employed",22,"earth",101.325052798933,1.70971705385884
"Aina Patrick-Curley","female","asian",35,44771,"single",18,"employed",28,"earth",100.115091855736,1.60069055113442
"Justine Teague","female","black",43,83247,"married",19,"employed",18,"earth",91.95206461467,1.55171238768802
"Mark Pham","male","asian",27,116775,"single",16,"employed",21,"earth",99.1095821840467,1.69347026934968
"Thien Thanh Thao","female","asian",33,70612,"single",14,"employed",31,"earth",89.5488476505853,1.53729308590351
"Enrico Smythe","nonbinary","asian",36,120924,"married",20,"employed",26,"earth",110.047382791682,1.66028429675009
"Gienry Reichal","male","asian",28,32416,"single",12,"employed",22,"earth",74.4476475201404,1.51261608181436
"Ann Kim","female","asian",28,50604,"married",16,"employed",22,"earth",113.163487736854,1.67898092642112
"Unais el-Rizk","male","arabic",48,82997,"married",22,"employed",15,"earth",127.001551011296,1.89801137408283
"Jacobi Dixon","male","black",44,40413,"divorced",11,"employed",18,"earth",86.3634288150166,1.59999847797679
"Lauren Spoon","female","indigenous",68,55617,"single",12,"employed",1,"earth",84.0718605005352,1.50443116300321
"Abdulradhe Reid","male","black",42,121198,"single",16,"employed",18,"earth",89.9945775280003,1.626626901872
"Aadila al-Abid","female","arabic",56,55946,"married",19,"employed",10,"earth",107.36892879189,1.64421357275134
"Whitney Alston","female","black",46,87449,"divorced",12,"employed",16,"earth",107.136675689676,1.64282005413806
"Shyloah Johnson","female","indigenous",63,62434,"widowed",18,"employed",3,"earth",112.927209120715,1.67756325472429
"Andrew Mutamba","male","black",43,49236,"married",12,"employed",18,"earth",91.1169718718873,1.63485779372717
"Glen Ellett","male","asian",32,159878,"single",22,"employed",31,"earth",123.719865363863,1.873945679335
"Tisa Harrison","female","indigenous",64,86513,"married",16,"employed",3,"earth",89.424501067716,1.5365470064063
"Sylvana Carlos","female","asian",32,82447,"single",22,"employed",31,"earth",107.957077425833,1.647742464555
"Maisoon el-Hashemi","male","arabic",55,78629,"married",18,"employed",11,"earth",114.695030024021,1.80776355350948
"Nina Angelica Faamausili","female","asian",27,160884,"single",20,"employed",20,"earth",110.015274728968,1.66009164837381
"David Newman","male","asian",31,66214,"married",15,"employed",28,"earth",107.70167458484,1.75647894695549
"Aqeel el-Mona","male","arabic",49,61689,"divorced",19,"employed",15,"earth",99.0500351734025,1.69303359127162
"Henry Hill","other","other",36,39204,"married",16,"employed",27,"earth",92.7165154264198,1.55629909255852
"William Bragg","male","white",24,66353,"married",16,"employed",15,"earth",98.8872511471406,1.6918398417457
"Nicholas Vogel","male","asian",35,208613,"single",21,"employed",29,"earth",115.385311581226,1.81282561826232
"Cole Mcmanis","male","white",26,58503,"divorced",13,"employed",19,"earth",90.9923861892239,1.63394416538764
"Andrew Sanfacon","male","white",26,130660,"divorced",16,"employed",19,"earth",95.6131067787038,1.66782944971049
